customer_id,first_name,last_name,email,phone,country,region,city,gender,customer_type,signup_datetime,loyalty_tier,communication_preference,marketing_opt_in,preferred_language,preferred_payment,special_requirements,data_source
25ab9829-1955-41fa-a840-b9b5b1e718fc,Darren,Harvey,darren_harvey@gmail.com,+1 520 606 2598,NL,Europe,Mohammadfurt,M,Leisure,2019-01-27 14:28:23,Non-Member,Email,False,English,American Express,,Website Direct
fc753aa7-60fa-4a97-b455-8a2ac43b2b2a,Abigail,Stephenson,abigail.stephenson@initech.com,+1 589 937 2082,NL,Europe,East Yvonne,F,Business,2024-02-29 19:49:47,Non-Member,Email,True,English,Visa,,Phone Booking
b3f32207-9294-48c5-a245-524bfb1cb604,Olivia,Morris,oliviam@outlook.com,+44 3776 897335,GB,Europe,Turnerchester,F,Leisure,2021-10-22 08:02:49,Gold,Email,False,English,Mastercard,"Late Check-out, High Floor",Corporate Contract
98babb17-4b33-45b3-993d-02962502184c,Stewart,Morgan,stewart_morgan@gmail.com,+1 739 847 8399,CH,Europe,Junetown,M,Leisure,2021-11-28 08:18:20,Platinum,Both,False,English,Mastercard,Early Check-in,Walk-in
4a238f5f-cef8-4a38-ac72-18050e9db42d,帆,林,帆林@starkindustries.com,676 9823 7455,CN,Asia Pacific,Port Gerardfort,M,Business,2022-11-28 22:22:44,Basic,SMS,True,Chinese,Mastercard,,Website Direct
b9878049-15d0-4fdf-873d-146210632bdf,Reece,Ward,rward@gmail.com,+1 528 446 8114,TH,Asia Pacific,Brianton,M,Leisure,2024-01-19 08:20:04,Basic,Email,False,English,American Express,,Phone Booking
bc996dbe-8299-4553-8ead-0b5e052c46a9,Charlene,Wallace,charlene49@hotmail.com,+1 222 155 9764,CA,North America,Rogerston,F,Leisure,2024-07-09 04:04:41,Basic,Both,True,English,Visa,,Corporate Contract
bf367bcd-b221-46e1-8f6a-6ff797b2d129,Beth,Hancock,beth.hancock@gmail.com,+1 767 194 1271,MX,North America,South Michellechester,F,Family,2024-06-19 20:41:56,Basic,Email,True,English,Visa,,Corporate Contract
b21026e9-934b-411e-acb6-e7b03d78f7df,도윤,문,도윤_문@outlook.com,+1 331 411 4802,KR,Asia Pacific,East Ann,M,Family,2020-10-26 21:53:51,Gold,SMS,True,Korean,PayPal,,Walk-in
a038b9aa-30ca-4e97-a1d1-20bd7a71d3db,洋,李,洋李@outlook.com,521 8022 3746,CN,Asia Pacific,East Louise,M,Leisure,2023-12-28 17:55:14,Silver,Email,False,Chinese,American Express,,OTA Referral
b97f5e96-d115-42a8-98d6-b315259b33db,Dean,Freeman,deanf@gmail.com,+1 972 460 2315,CA,North America,Lake Gemmaborough,M,Leisure,2021-02-15 10:19:43,Non-Member,Email,True,English,Visa,Allergies,Website Direct
fb453eec-5dd3-4269-9fa1-90a31ff97186,Frederick,Stevens,fredericks@outlook.com,+1 118 884 1240,SE,Europe,Nolanland,M,Leisure,2022-03-25 06:26:34,Silver,SMS,False,English,American Express,,Website Direct
3132c6b8-1163-462d-ad16-ae8e4b96508c,Hugues,Denis,huguesd@gmail.com,+33 179 210 7661,FR,Europe,Charrier,M,Leisure,2021-06-20 23:02:46,Basic,SMS,True,French,Mastercard,,Walk-in
c19c302f-a5f3-4499-a5df-f3610798d220,Lydia,Edwards,lydia_edwards@gmail.com,+91 365 249 9650,IN,Asia Pacific,New Emma,F,Family,2022-01-09 05:46:32,Non-Member,Email,True,English,PayPal,,Corporate Contract
f9b93a67-902b-4637-bfaf-521465f72b82,Amedeo,Marzorati,test@test.com,+1 992 512 4662,IT,Europe,Trezzone,M,Business,2022-08-23 13:26:46,Platinum,Email,True,Italian,Google Pay,"Late Check-out, Allergies",OTA Referral
c6d56d8d-1091-49ee-baf3-571dfcfba493,واثق,الخرافي,واثقا@outlook.com,+1 608 913 8921,SA,Middle East,Robertsontown,M,Leisure,2021-08-29 20:06:33,Gold,Email,False,Arabic,Mastercard,,Phone Booking
8ef2e6b1-c872-472c-8b14-35331cc03dfe,Aaron,Hughes,ahughes@gmail.com,+1 152 278 5711,SE,Europe,Morrischester,M,Leisure,2024-12-01 13:58:02,Non-Member,Email,False,English,Visa,,Walk-in
36fc7c2b-cd0b-4e52-b615-b4fc4a9cde17,George,Howard,george84@gmail.com,+91 770 398 7694,IN,Asia Pacific,Joneschester,M,Leisure,2019-11-02 09:58:59,Basic,Email,True,English,Mastercard,,Phone Booking
d351f42a-f4b7-44b9-8cc9-3cba7dc1d634,Aria,Majewski,ariam@outlook.com,+1 500 130 1487,IT,Europe,Germagnano,F,Family,2024-03-02 18:42:36,Non-Member,None,False,Italian,Mastercard,,Corporate Contract
b24f3d28-bbaa-451d-bc42-80aed26a612f,Henry,Thompson,henry_thompson@gmail.com,+1 521 649 5607,ZA,Africa,Lake Katyfort,M,Leisure,2024-05-16 22:19:25,Basic,Email,False,English,Mastercard,,Corporate Contract
99b52da4-699c-4e45-8963-1a727418723d,Sally,Mills,sally.mills@dummycorp.com,+1 573 171 9726,CA,North America,South Leannetown,F,Business,2019-07-09 21:45:50,Silver,Email,True,English,Google Pay,,Phone Booking
2e81ed41-0186-4388-985b-5d7459a1ad91,Sharon,Turner,guest@email.com,+61 538 557 6270,AU,Asia Pacific,Evansview,F,Group,2022-09-20 09:16:53,Gold,Email,True,English,Visa,,Website Direct
387a7b35-fb38-4368-9df3-5cf9dc481d09,David,Holt,davidh@gmail.com,+1 906 325 1032,CA,North America,Williamsland,M,Family,2019-08-15 11:47:16,Basic,Email,False,English,Visa,,Phone Booking
c6f67c5c-1670-4a34-8c96-1d7ec8a6f69e,Heather,Anderson,heather80@tyrellcorp.com,1175 771 3326,GB,Europe,South Howardshire,F,Business,2022-06-16 14:08:56,Platinum,Email,False,English,American Express,Wheelchair Accessible,OTA Referral
06ee5373-d774-4bd8-85c4-73ff5350cf90,Stephanie,Watson,swatson@oscorp.com,+1 428 480 6038,NL,Europe,North Lesleyfurt,F,Business,2024-08-28 23:26:03,Basic,None,False,English,PayPal,,Website Direct
dfcbc55a-6e5e-467d-bfb4-a91c82f2377b,Tracey,Harding,tharding@dummycorp.com,929-849-3026,US,North America,Kingfort,F,Business,2019-09-18 03:08:11,Basic,Email,False,English,Visa,,Corporate Contract
f02fe1a2-aa78-4cd4-9c62-69b925c97687,秀梅,欧,秀梅.欧@starkindustries.com,418 2285 5858,CN,Asia Pacific,New Elliotport,F,Business,2023-06-20 05:33:33,Silver,Email,True,Chinese,Visa,Allergies,Corporate Contract
7ac0e506-670b-4056-8afa-c6e4a975b21b,秀梅,孙,秀孙@gmail.com,+86 549 5146 505,CN,Asia Pacific,Port Darren,F,Business,2023-02-01 00:24:17,Non-Member,Email,False,Chinese,Visa,,Website Direct
9ca6160d-deb4-44a1-b97f-f0995bba1784,Leigh,Yates,guest@email.com,+1 860 593 6974,CA,North America,West Fionaside,M,Group,2023-09-22 19:48:11,Basic,SMS,True,English,Mastercard,Wheelchair Accessible,Website Direct
531cc94f-dfb2-4ceb-aa29-ff94d09fb0da,Andrew,Hussain,andrew_hussain@yahoo.com,(409) 854-1269,US,North America,Jonesberg,M,Leisure,2020-05-07 12:13:30,Gold,Email,True,English,Mastercard,,Corporate Contract
30365c4f-0dc5-4752-948e-308b646c6e0a,文,许,文许@gmail.com,+86 287 4992 283,CN,Asia Pacific,New Damien,M,Leisure,2024-06-03 23:05:32,Basic,Email,True,Chinese,Visa,,OTA Referral
